date;ticker;price
2010-01-04;JNJ;64.68
2010-01-05;JNJ;63.93
2010-01-06;JNJ;64.45
2010-01-07;JNJ;63.99
2010-01-08;JNJ;64.21
2010-01-11;JNJ;64.22
2010-01-12;JNJ;64.56
2010-01-13;JNJ;64.97
2010-01-14;JNJ;65.1
2010-01-15;JNJ;64.56
2010-01-19;JNJ;65.35
2010-01-20;JNJ;65.15
2010-01-21;JNJ;63.97
2010-01-22;JNJ;63.2
2010-01-25;JNJ;63.22
2010-01-26;JNJ;62.79
2010-01-27;JNJ;63.44
2010-01-28;JNJ;63.8
2010-01-29;JNJ;62.86
2010-02-01;JNJ;63.09
2010-02-02;JNJ;63.99
2010-02-03;JNJ;63.63
2010-02-04;JNJ;62.64
2010-02-05;JNJ;62.64
2010-02-08;JNJ;62.37
2010-02-09;JNJ;62.76
2010-02-10;JNJ;62.73
2010-02-11;JNJ;62.91
2010-02-12;JNJ;62.72
2010-02-16;JNJ;63.61
2010-02-17;JNJ;63.98
2010-02-18;JNJ;64.53
2010-02-19;JNJ;63.81
2010-02-22;JNJ;63.49
2010-02-23;JNJ;63.31
2010-02-24;JNJ;63.45
2010-02-25;JNJ;63.28
2010-02-26;JNJ;63.0
2010-03-01;JNJ;63.39
2010-03-02;JNJ;63.44
2010-03-03;JNJ;63.4
2010-03-04;JNJ;63.57
2010-03-05;JNJ;64.04
2010-03-08;JNJ;64.2
2010-03-09;JNJ;64.27
2010-03-10;JNJ;64.29
2010-03-11;JNJ;64.22
2010-03-12;JNJ;64.18
2010-03-15;JNJ;64.57
2010-03-16;JNJ;64.53
2010-03-17;JNJ;64.65
2010-03-18;JNJ;65.06
2010-03-19;JNJ;65.11
2010-03-22;JNJ;65.1
2010-03-23;JNJ;65.36
2010-03-24;JNJ;64.75
2010-03-25;JNJ;64.57
2010-03-26;JNJ;64.38
2010-03-29;JNJ;64.82
2010-03-30;JNJ;64.9
2010-03-31;JNJ;65.2
2010-04-01;JNJ;65.77
2010-04-05;JNJ;65.4
2010-04-06;JNJ;65.31
2010-04-07;JNJ;65.22
2010-04-08;JNJ;64.93
2010-04-09;JNJ;65.14
2010-04-12;JNJ;65.11
2010-04-13;JNJ;65.68
2010-04-14;JNJ;65.49
2010-04-15;JNJ;65.51
2010-04-16;JNJ;65.02
2010-04-19;JNJ;66.03
2010-04-20;JNJ;65.99
2010-04-21;JNJ;65.39
2010-04-22;JNJ;64.78
2010-04-23;JNJ;65.04
2010-04-26;JNJ;64.76
2010-04-27;JNJ;64.28
2010-04-28;JNJ;64.62
2010-04-29;JNJ;65.01
2010-04-30;JNJ;64.3
2010-05-03;JNJ;65.33
2010-05-04;JNJ;64.7
2010-05-05;JNJ;65.14
2010-05-06;JNJ;63.4
2010-05-07;JNJ;63.31
2010-05-10;JNJ;64.75
2010-05-11;JNJ;64.67
2010-05-12;JNJ;64.9
2010-05-13;JNJ;64.67
2010-05-14;JNJ;63.97
2010-05-17;JNJ;63.88
2010-05-18;JNJ;62.97
2010-05-19;JNJ;62.22
2010-05-20;JNJ;60.55
2010-05-21;JNJ;60.88
2010-05-24;JNJ;60.57
2010-05-25;JNJ;60.35
2010-05-26;JNJ;59.66
2010-05-27;JNJ;59.03
2010-05-28;JNJ;58.3
2010-06-01;JNJ;58.76
2010-06-02;JNJ;59.73
2010-06-03;JNJ;59.77
2010-06-04;JNJ;58.01
2010-06-07;JNJ;58.0
2010-06-08;JNJ;58.64
2010-06-09;JNJ;58.17
2010-06-10;JNJ;58.5
2010-06-11;JNJ;58.46
2010-06-14;JNJ;58.42
2010-06-15;JNJ;59.14
2010-06-16;JNJ;59.24
2010-06-17;JNJ;59.18
2010-06-18;JNJ;59.18
2010-06-21;JNJ;59.13
2010-06-22;JNJ;59.16
2010-06-23;JNJ;59.24
2010-06-24;JNJ;59.6
2010-06-25;JNJ;58.7
2010-06-28;JNJ;59.45
2010-06-29;JNJ;59.24
2010-06-30;JNJ;59.06
2010-07-01;JNJ;59.07
2010-07-02;JNJ;59.08
2010-07-06;JNJ;59.08
2010-07-07;JNJ;60.61
2010-07-08;JNJ;61.38
2010-07-09;JNJ;60.54
2010-07-12;JNJ;60.21
2010-07-13;JNJ;60.5
2010-07-14;JNJ;60.62
2010-07-15;JNJ;60.26
2010-07-16;JNJ;59.44
2010-07-19;JNJ;59.57
2010-07-20;JNJ;58.58
2010-07-21;JNJ;57.12
2010-07-22;JNJ;57.02
2010-07-23;JNJ;57.63
2010-07-26;JNJ;57.74
2010-07-27;JNJ;58.1
2010-07-28;JNJ;57.83
2010-07-29;JNJ;57.83
2010-07-30;JNJ;58.09
2010-08-02;JNJ;58.72
2010-08-03;JNJ;59.35
2010-08-04;JNJ;59.74
2010-08-05;JNJ;59.76
2010-08-06;JNJ;59.96
2010-08-09;JNJ;60.05
2010-08-10;JNJ;59.43
2010-08-11;JNJ;58.5
2010-08-12;JNJ;58.52
2010-08-13;JNJ;58.15
2010-08-16;JNJ;58.01
2010-08-17;JNJ;59.22
2010-08-18;JNJ;59.35
2010-08-19;JNJ;58.72
2010-08-20;JNJ;58.74
2010-08-23;JNJ;58.87
2010-08-24;JNJ;58.01
2010-08-25;JNJ;57.98
2010-08-26;JNJ;57.8
2010-08-27;JNJ;57.6
2010-08-30;JNJ;57.3
2010-08-31;JNJ;57.14
2010-09-01;JNJ;58.29
2010-09-02;JNJ;58.61
2010-09-03;JNJ;58.93
2010-09-07;JNJ;58.7
2010-09-08;JNJ;58.85
2010-09-09;JNJ;59.82
2010-09-10;JNJ;59.98
2010-09-13;JNJ;60.32
2010-09-14;JNJ;60.58
2010-09-15;JNJ;61.05
2010-09-16;JNJ;61.29
2010-09-17;JNJ;61.57
2010-09-20;JNJ;62.09
2010-09-21;JNJ;61.94
2010-09-22;JNJ;61.97
2010-09-23;JNJ;61.81
2010-09-24;JNJ;62.14
2010-09-27;JNJ;62.03
2010-09-28;JNJ;62.43
2010-09-29;JNJ;62.31
2010-09-30;JNJ;61.96
2010-10-01;JNJ;61.75
2010-10-04;JNJ;61.67
2010-10-05;JNJ;62.8
2010-10-06;JNJ;63.21
2010-10-07;JNJ;63.22
2010-10-08;JNJ;63.23
2010-10-11;JNJ;63.3
2010-10-12;JNJ;63.29
2010-10-13;JNJ;63.58
2010-10-14;JNJ;63.74
2010-10-15;JNJ;63.57
2010-10-18;JNJ;63.86
2010-10-19;JNJ;63.29
2010-10-20;JNJ;63.6
2010-10-21;JNJ;63.99
2010-10-22;JNJ;63.81
2010-10-25;JNJ;63.98
2010-10-26;JNJ;63.84
2010-10-27;JNJ;63.57
2010-10-28;JNJ;63.56
2010-10-29;JNJ;63.74
2010-11-01;JNJ;63.69
2010-11-02;JNJ;63.88
2010-11-03;JNJ;64.19
2010-11-04;JNJ;64.76
2010-11-05;JNJ;64.65
2010-11-08;JNJ;64.33
2010-11-09;JNJ;64.31
2010-11-10;JNJ;63.95
2010-11-11;JNJ;63.92
2010-11-12;JNJ;63.67
2010-11-15;JNJ;64.14
2010-11-16;JNJ;63.14
2010-11-17;JNJ;63.06
2010-11-18;JNJ;63.83
2010-11-19;JNJ;63.83
2010-11-22;JNJ;63.62
2010-11-23;JNJ;62.87
2010-11-24;JNJ;63.29
2010-11-26;JNJ;62.3
2010-11-29;JNJ;61.91
2010-11-30;JNJ;61.55
2010-12-01;JNJ;62.42
2010-12-02;JNJ;62.6
2010-12-03;JNJ;62.56
2010-12-06;JNJ;62.2
2010-12-07;JNJ;62.31
2010-12-08;JNJ;62.45
2010-12-09;JNJ;62.06
2010-12-10;JNJ;61.91
2010-12-13;JNJ;61.86
2010-12-14;JNJ;62.77
2010-12-15;JNJ;62.57
2010-12-16;JNJ;62.4
2010-12-17;JNJ;62.54
2010-12-20;JNJ;62.49
2010-12-21;JNJ;62.34
2010-12-22;JNJ;62.02
2010-12-23;JNJ;62.25
2010-12-27;JNJ;61.93
2010-12-28;JNJ;62.05
2010-12-29;JNJ;62.13
2010-12-30;JNJ;61.94
2010-12-31;JNJ;61.85
2011-01-03;JNJ;62.82
2011-01-04;JNJ;63.35
2011-01-05;JNJ;63.31
2011-01-06;JNJ;63.21
2011-01-07;JNJ;62.6
2011-01-10;JNJ;62.16
2011-01-11;JNJ;62.27
2011-01-12;JNJ;62.5
2011-01-13;JNJ;62.91
2011-01-14;JNJ;62.55
2011-01-18;JNJ;62.1
2011-01-19;JNJ;62.56
2011-01-20;JNJ;62.86
2011-01-21;JNJ;62.66
2011-01-24;JNJ;62.22
2011-01-25;JNJ;61.08
2011-01-26;JNJ;60.6
2011-01-27;JNJ;60.68
2011-01-28;JNJ;60.01
2011-01-31;JNJ;59.77
2011-02-01;JNJ;60.63
2011-02-02;JNJ;60.62
2011-02-03;JNJ;60.8
2011-02-04;JNJ;60.84
2011-02-07;JNJ;60.87
2011-02-08;JNJ;60.94
2011-02-09;JNJ;60.88
2011-02-10;JNJ;60.93
2011-02-11;JNJ;60.7
2011-02-14;JNJ;60.7
2011-02-15;JNJ;60.62
2011-02-16;JNJ;60.52
2011-02-17;JNJ;60.79
2011-02-18;JNJ;61.11
2011-02-22;JNJ;60.65
2011-02-23;JNJ;60.39
2011-02-24;JNJ;60.25
2011-02-25;JNJ;59.64
2011-02-28;JNJ;61.44
2011-03-01;JNJ;60.7
2011-03-02;JNJ;60.81
2011-03-03;JNJ;61.05
2011-03-04;JNJ;61.06
2011-03-07;JNJ;60.4
2011-03-08;JNJ;60.71
2011-03-09;JNJ;60.4
2011-03-10;JNJ;59.61
2011-03-11;JNJ;59.69
2011-03-14;JNJ;59.13
2011-03-15;JNJ;58.48
2011-03-16;JNJ;57.66
2011-03-17;JNJ;58.13
2011-03-18;JNJ;58.57
2011-03-21;JNJ;58.83
2011-03-22;JNJ;58.79
2011-03-23;JNJ;58.72
2011-03-24;JNJ;59.03
2011-03-25;JNJ;58.98
2011-03-28;JNJ;59.24
2011-03-29;JNJ;59.22
2011-03-30;JNJ;59.38
2011-03-31;JNJ;59.25
2011-04-01;JNJ;59.49
2011-04-04;JNJ;60.15
2011-04-05;JNJ;59.8
2011-04-06;JNJ;59.66
2011-04-07;JNJ;59.48
2011-04-08;JNJ;59.46
2011-04-11;JNJ;59.86
2011-04-12;JNJ;59.94
2011-04-13;JNJ;59.6
2011-04-14;JNJ;60.02
2011-04-15;JNJ;60.56
2011-04-18;JNJ;60.46
2011-04-19;JNJ;62.69
2011-04-20;JNJ;64.39
2011-04-21;JNJ;64.07
2011-04-25;JNJ;64.11
2011-04-26;JNJ;64.95
2011-04-27;JNJ;65.57
2011-04-28;JNJ;65.38
2011-04-29;JNJ;65.72
2011-05-02;JNJ;66.21
2011-05-03;JNJ;66.26
2011-05-04;JNJ;65.67
2011-05-05;JNJ;65.01
2011-05-06;JNJ;65.27
2011-05-09;JNJ;65.63
2011-05-10;JNJ;65.76
2011-05-11;JNJ;66.57
2011-05-12;JNJ;67.19
2011-05-13;JNJ;66.62
2011-05-16;JNJ;66.37
2011-05-17;JNJ;66.4
2011-05-18;JNJ;66.5
2011-05-19;JNJ;66.39
2011-05-20;JNJ;65.69
2011-05-23;JNJ;65.56
2011-05-24;JNJ;65.78
2011-05-25;JNJ;66.29
2011-05-26;JNJ;65.51
2011-05-27;JNJ;66.77
2011-05-31;JNJ;67.29
2011-06-01;JNJ;66.48
2011-06-02;JNJ;66.48
2011-06-03;JNJ;66.09
2011-06-06;JNJ;66.05
2011-06-07;JNJ;65.5
2011-06-08;JNJ;66.14
2011-06-09;JNJ;66.78
2011-06-10;JNJ;66.09
2011-06-13;JNJ;66.59
2011-06-14;JNJ;67.1
2011-06-15;JNJ;66.16
2011-06-16;JNJ;66.32
2011-06-17;JNJ;66.29
2011-06-20;JNJ;66.51
2011-06-21;JNJ;66.49
2011-06-22;JNJ;66.07
2011-06-23;JNJ;65.67
2011-06-24;JNJ;65.06
2011-06-27;JNJ;65.25
2011-06-28;JNJ;65.91
2011-06-29;JNJ;66.31
2011-06-30;JNJ;66.52
2011-07-01;JNJ;67.3
2011-07-05;JNJ;67.62
2011-07-06;JNJ;67.55
2011-07-07;JNJ;67.92
2011-07-08;JNJ;67.57
2011-07-11;JNJ;67.27
2011-07-12;JNJ;67.03
2011-07-13;JNJ;67.63
2011-07-14;JNJ;67.66
2011-07-15;JNJ;67.45
2011-07-18;JNJ;67.09
2011-07-19;JNJ;66.72
2011-07-20;JNJ;66.24
2011-07-21;JNJ;66.47
2011-07-22;JNJ;66.72
2011-07-25;JNJ;66.25
2011-07-26;JNJ;65.92
2011-07-27;JNJ;65.23
2011-07-28;JNJ;65.08
2011-07-29;JNJ;64.79
2011-08-01;JNJ;64.41
2011-08-02;JNJ;63.43
2011-08-03;JNJ;63.41
2011-08-04;JNJ;61.84
2011-08-05;JNJ;62.71
2011-08-08;JNJ;61.12
2011-08-09;JNJ;62.2
2011-08-10;JNJ;60.2
2011-08-11;JNJ;63.44
2011-08-12;JNJ;63.36
2011-08-15;JNJ;64.59
2011-08-16;JNJ;64.36
2011-08-17;JNJ;64.26
2011-08-18;JNJ;63.16
2011-08-19;JNJ;63.14
2011-08-22;JNJ;63.29
2011-08-23;JNJ;64.97
2011-08-24;JNJ;65.53
2011-08-25;JNJ;64.55
